committed	source	w	h	source_w	source_h	distance
assets/img/projects/blue-heron-bath-brass-rainhead-valve.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-13.jpg	1400	1960	1463	2048	0.0004
assets/img/projects/blue-heron-bath-brass-shower-pulls.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-12.jpg	1400	2099	1707	2560	0.0007
assets/img/projects/blue-heron-bath-brass-tub-filler.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-16.jpg	1400	1960	1463	2048	0.00032
assets/img/projects/blue-heron-bath-crystal-bath-light.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-22.jpg	1400	1400	2048	2048	0.00022
assets/img/projects/blue-heron-bath-double-vanity-mirror.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-01.jpg	1400	933	2048	1365	0.00028
assets/img/projects/blue-heron-bath-fluted-vanity-panel.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-03.jpg	1400	2099	1707	2560	0.00089
assets/img/projects/blue-heron-bath-frameless-shower.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-07.jpg	1400	1960	1463	2048	0.00041
assets/img/projects/blue-heron-bath-shower-and-tub-cover.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-05.jpg	800	533	2048	1365	0.00047
assets/img/projects/blue-heron-bath-shower-and-tub-hero-1400.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-05.jpg	1400	933	2048	1365	0.00029
assets/img/projects/blue-heron-bath-shower-and-tub-hero-800.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-05.jpg	800	533	2048	1365	0.00049
assets/img/projects/blue-heron-bath-shower-and-tub-hero.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-05.jpg	2000	1333	2048	1365	0.00021
assets/img/projects/blue-heron-bath-slipper-tub-pearl-mosaic.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-17.jpg	1400	933	2048	1365	0.00022
assets/img/projects/blue-heron-bath-tub-crystal-chandelier.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-10.jpg	1400	1960	1463	2048	0.00019
assets/img/projects/blue-heron-bath-waterjet-floor-inlay.jpg	assets/img/projects/blue-heron-bathroom/blue-heron-bathroom-23.jpg	1400	933	2048	1365	0.00236
assets/img/projects/crystal-beach-bedroom-woven-panel-bed.jpg	assets/img/projects/crystal-beach-vacation-home/crystal-beach-vacation-home-19.jpg	1400	933	2048	1365	0.00018
assets/img/projects/crystal-beach-great-room-cathedral-ceiling.jpg	assets/img/projects/crystal-beach-vacation-home/crystal-beach-vacation-home-06.jpg	1400	933	2048	1365	0.00019
assets/img/projects/crystal-beach-hall-bath-aqua-stripe.jpg	assets/img/projects/crystal-beach-vacation-home/crystal-beach-vacation-home-11.jpg	1400	933	2048	1365	0.00037
assets/img/projects/crystal-beach-kitchen-denim-blue-cover.jpg	assets/img/projects/crystal-beach-vacation-home/crystal-beach-vacation-home-09.jpg	800	533	2048	1365	0.0005
assets/img/projects/crystal-beach-kitchen-denim-blue-hero-1400.jpg	assets/img/projects/crystal-beach-vacation-home/crystal-beach-vacation-home-09.jpg	1400	933	2048	1365	0.0002
assets/img/projects/crystal-beach-kitchen-denim-blue-hero-800.jpg	assets/img/projects/crystal-beach-vacation-home/crystal-beach-vacation-home-09.jpg	800	533	2048	1365	0.00051
assets/img/projects/crystal-beach-kitchen-denim-blue-hero.jpg	assets/img/projects/crystal-beach-vacation-home/crystal-beach-vacation-home-09.jpg	2000	1333	2048	1365	9e-05
assets/img/projects/crystal-beach-kitchen-peninsula-stools.jpg	assets/img/projects/crystal-beach-vacation-home/crystal-beach-vacation-home-10.jpg	1400	933	2048	1366	0.00021
